city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,price_per_km,age_group,high_mileage,multiple_owners
bangalore,manual,2,maruti,maruti swift,2015,zdi bsiv,629000.0,2015,diesel,134557,1248,25.2,9,2.8,506751.9858898498,24960.31746031746,old,1,1
bangalore,manual,2,maruti,maruti swift dzire,2013,vxi,447000.0,2013,petrol,96567,1197,22.41,11,2.037272727272727,506751.9858898498,19946.45247657296,old,1,1
bangalore,manual,2,maruti,maruti ertiga,2014,zdi,786000.0,2015,diesel,83007,1248,20.77,9,2.307777777777778,506751.9858898498,37843.04285026481,old,0,1
bangalore,manual,1,honda,honda jazz,2018,1.2 vx i vtec,745000.0,2018,petrol,34000,1199,18.7,6,3.1166666666666667,625329.2089728453,39839.57219251337,mid-age,0,0
bangalore,automatic,1,hyundai,hyundai grand i10,2014,at asta,490000.00000000006,2014,petrol,81634,1197,18.9,10,1.89,607984.020282729,25925.92592592593,old,0,0
bangalore,automatic,2,honda,honda city,2017,i-vtec cvt zx,942000.0,2017,petrol,57284,1497,18.0,7,2.5714285714285716,625329.2089728453,52333.333333333336,mid-age,0,1
bangalore,automatic,2,ford,ford ecosport,2016,1.5 ti vct at titanium bsiv,675000.0,2016,petrol,70000,1499,15.63,8,1.95375,732400.0,43186.18042226487,old,0,1
bangalore,manual,2,honda,honda brio,2013,s mt,330000.0,2013,petrol,70000,1198,19.4,11,1.7636363636363634,625329.2089728453,17010.309278350516,old,0,1
bangalore,automatic,2,toyota,toyota yaris,2018,g cvt bsiv,875000.0,2018,petrol,46429,1496,17.8,6,2.966666666666667,1290725.0,49157.30337078652,mid-age,0,1
bangalore,manual,1,maruti,maruti baleno,2017,1.2 alpha,869000.0,2018,petrol,17624,1197,21.4,6,3.5666666666666664,506751.9858898498,40607.476635514024,mid-age,0,0
bangalore,manual,2,volkswagen,volkswagen vento,2012,diesel highline,425000.0,2012,diesel,100000,1598,20.54,12,1.7116666666666667,704698.5815602837,20691.333982473225,old,0,1
bangalore,manual,1,honda,honda city,2019,i-vtec v,1070000.0,2019,petrol,30000,1497,17.4,5,3.4799999999999995,625329.2089728453,61494.25287356322,mid-age,0,0
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium,1025000.0,2018,petrol,49690,1496,15.9,6,2.65,732400.0,64465.408805031446,mid-age,0,1
bangalore,manual,1,mahindra,mahindra xuv500,2016,w6 2wd,1000000.0,2016,diesel,110000,2179,16.0,8,2.0,979000.0,62500.0,old,0,0
bangalore,manual,1,fiat,fiat linea,2009,emotion pack,375000.0,2009,petrol,50000,1368,16.0,15,1.0666666666666667,288166.6666666667,23437.5,old,0,0
bangalore,automatic,1,ford,ford ecosport,2018,1.5 petrol titanium plus at bsiv,844000.0,2018,petrol,55702,1497,14.8,6,2.466666666666667,732400.0,57027.02702702703,mid-age,0,0
bangalore,manual,1,hyundai,hyundai i20 active,2016,1.4 sx,764000.0,2016,diesel,45046,1396,21.19,8,2.64875,607984.020282729,36054.74280320906,old,0,0
bangalore,manual,2,maruti,maruti ritz,2014,vxi,420000.0,2014,petrol,53000,1197,18.5,10,1.85,506751.9858898498,22702.702702702703,old,0,1
bangalore,manual,1,maruti,maruti baleno,2016,1.3 alpha,684000.0,2016,diesel,94695,1248,27.39,8,3.42375,506751.9858898498,24972.61774370208,old,1,0
bangalore,manual,1,maruti,maruti baleno,2019,1.2 alpha,802999.9999999999,2019,petrol,22162,1197,21.4,5,4.279999999999999,506751.9858898498,37523.36448598131,mid-age,0,0
bangalore,manual,2,hyundai,hyundai santro xing,2010,gls,320000.0,2010,petrol,70000,1086,17.92,14,1.28,607984.020282729,17857.142857142855,old,0,1
bangalore,manual,1,honda,honda city,2017,i dtec v,803999.9999999999,2018,diesel,115331,1498,26.0,6,4.333333333333333,625329.2089728453,30923.07692307692,mid-age,1,0
bangalore,automatic,2,mercedes-benz,mercedes-benz e-class,2013,e 220 cdi avantgarde,1400000.0,2013,diesel,70000,2148,10.0,11,0.9090909090909091,3530416.6666666665,140000.0,old,0,1
bangalore,manual,2,maruti,maruti swift,2016,vxi,548000.0,2016,petrol,42233,1197,22.38,8,2.7975,506751.9858898498,24486.14834673816,old,1,1
bangalore,manual,1,hyundai,hyundai grand i10,2019,1.2 kappa sportz bsiv,619000.0,2019,petrol,20941,1197,18.9,5,3.78,607984.020282729,32751.322751322754,mid-age,0,0
bangalore,manual,2,maruti,maruti vitara brezza,2018,zdi plus dual tone,1000000.0,2018,diesel,50000,1248,24.3,6,4.05,506751.9858898498,41152.26337448559,mid-age,1,1
bangalore,manual,1,honda,honda wr-v,2018,i-vtec vx,865000.0,2018,petrol,46602,1199,17.5,6,2.9166666666666665,625329.2089728453,49428.57142857143,mid-age,0,0
bangalore,automatic,2,mahindra ssangyong,mahindra ssangyong rexton,2014,rx7,1000000.0,2014,diesel,50000,2696,11.18,10,1.1179999999999999,950000.0,89445.43828264759,old,0,1
bangalore,manual,2,maruti,maruti swift,2014,vdi bsiv,535000.0,2014,diesel,104000,1248,25.2,10,2.52,506751.9858898498,21230.15873015873,old,1,1
bangalore,manual,1,ford,ford ecosport,2018,1.5 diesel titanium plus bsiv,975000.0,2018,diesel,90000,1498,23.0,6,3.8333333333333335,732400.0,42391.30434782609,mid-age,1,0
bangalore,manual,1,maruti,maruti baleno,2017,1.2 zeta,699000.0,2017,petrol,50035,1197,21.4,7,3.057142857142857,506751.9858898498,32663.55140186916,mid-age,0,0
bangalore,manual,1,tata,tata nexon,2021,xz plus dualtone roof (o),1150000.0,2021,petrol,80000,1199,17.57,3,5.8566666666666665,771862.8305882353,65452.47581104155,mid-age,0,0
bangalore,manual,2,hyundai,hyundai i20,2015,sportz option 1.2,625000.0,2015,petrol,90000,1197,18.6,9,2.066666666666667,607984.020282729,33602.15053763441,old,0,1
bangalore,automatic,4,mercedes-benz,mercedes-benz e-class,2011,e250 cdi blue efficiency,1000000.0,2011,diesel,90000,2143,14.21,13,1.093076923076923,3530416.6666666665,70372.97677691765,old,0,1
bangalore,manual,1,toyota,toyota corolla altis,2011,diesel d4dg,600000.0,2011,diesel,120000,1364,21.43,13,1.6484615384615384,1290725.0,27998.133457769483,old,1,0
bangalore,manual,1,maruti,maruti swift dzire,2015,zxi,675000.0,2015,petrol,25170,1197,22.41,9,2.49,506751.9858898498,30120.481927710844,old,1,0
bangalore,manual,1,maruti,maruti ciaz,2021,delta bsvi,893000.0,2021,petrol,25022,1462,20.65,3,6.883333333333333,506751.9858898498,43244.55205811138,mid-age,0,0
bangalore,manual,2,maruti,maruti swift,2012,rs vdi,420000.0,2012,diesel,100000,1248,22.9,12,1.9083333333333332,506751.9858898498,18340.611353711793,old,1,1
bangalore,manual,1,maruti,maruti ciaz,2020,delta bsvi,941000.0,2020,petrol,26367,1462,20.65,4,5.1625,506751.9858898498,45569.00726392252,mid-age,0,0
bangalore,automatic,2,hyundai,hyundai elantra,2015,sx at,630000.0,2015,petrol,76567,1797,14.5,9,1.6111111111111112,607984.020282729,43448.275862068964,old,0,1
