city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,mileage_kmpl,engine_cc
bangalore,manual,1,maruti,maruti swift,2018,vdi,690000.0,2018,diesel,110000.0,28.4,1248
bangalore,manual,2,maruti,maruti celerio,2017,zxi optional,500000.0,2017,petrol,64000.0,23.1,998
bangalore,manual,1,maruti,maruti ciaz,2015,vdi plus,650000.0,2015,diesel,100000.0,26.21,1248
bangalore,automatic,2,honda,honda jazz,2016,1.2 v at i vtec,537000.0,2016,petrol,44154.0,19.0,1199
bangalore,manual,1,renault,renault lodgy,2016,110ps rxz 7 seater,750000.0,2016,diesel,70000.0,19.98,1461
bangalore,manual,2,tata,tata tiago,2017,1.2 revotron xt,468000.0,2018,petrol,68039.0,23.84,1199
bangalore,manual,2,maruti,maruti ritz,2014,vxi,420000.0,2014,petrol,60000.0,18.5,1197
bangalore,manual,1,hyundai,hyundai i20,2021,asta turbo imt dt,919999.9999999999,2021,petrol,10000.0,20.0,998
bangalore,manual,1,honda,honda city,2013,v mt,533000.0,2013,petrol,49873.0,16.8,1497
bangalore,automatic,3,volkswagen,volkswagen polo,2013,gt tsi,850000.0,2013,petrol,90000.0,17.2,1197
bangalore,manual,2,skoda,skoda rapid,2017,1.5 tdi ambition bsiv,751000.0,2017,diesel,48960.0,21.13,1498
bangalore,manual,2,hyundai,hyundai grand i10,2014,crdi era,388000.0,2014,diesel,70000.0,24.0,1120
bangalore,manual,2,hyundai,hyundai i20,2013,sportz 1.2,490000.00000000006,2013,petrol,68000.0,18.5,1197
bangalore,manual,1,mahindra,mahindra kuv 100,2016,mfalcon d75 k6,494000.00000000006,2016,diesel,23017.0,25.32,1198
bangalore,manual,2,hyundai,hyundai i20,2013,asta 1.4 crdi,525000.0,2014,diesel,83000.0,21.27,1396
bangalore,manual,1,maruti,maruti wagon r,2018,vxi plus optional,550000.0,2018,petrol,62139.0,20.51,998
bangalore,manual,1,hyundai,hyundai i10,2013,magna lpg,365000.0,2013,lpg,74000.0,19.2,1086
bangalore,automatic,2,renault,renault kwid,2016,1.0 amt rxt,420000.0,2016,petrol,26500.0,24.04,999
bangalore,automatic,1,mahindra,mahindra xuv300,2022,w6 amt sunroof bsvi,1050000.0,2022,petrol,10000.0,17.0,1197
bangalore,manual,1,honda,honda brio,2013,s mt,394000.0,2013,petrol,38197.0,19.4,1198
bangalore,automatic,2,maruti,maruti baleno,2017,zeta cvt,725000.0,2017,petrol,23000.0,19.56,1197
bangalore,manual,1,maruti,maruti alto k10,2013,lxi,240000.0,2013,petrol,50000.0,20.92,998
bangalore,automatic,1,renault,renault kiger,2022,rxz amt dt,835000.0,2022,petrol,10000.0,19.03,999
bangalore,manual,1,hyundai,hyundai grand i10,2019,1.2 kappa asta,695000.0,2019,petrol,19000.0,18.9,1197
bangalore,automatic,1,kia,kia seltos,2020,gtx plus dct,1725000.0,2020,petrol,14000.0,16.5,1353
bangalore,manual,1,hyundai,hyundai eon,2014,magna plus,330000.0,2014,petrol,29268.0,21.1,814
bangalore,automatic,1,volkswagen,volkswagen vento,2019,1.2 tsi highline plus at,990000.0,2019,petrol,20000.0,18.19,1197
bangalore,manual,1,toyota,toyota yaris,2018,g bsiv,750000.0,2018,petrol,30000.0,17.1,1496
bangalore,automatic,1,honda,honda jazz,2018,1.2 v at i vtec,755000.0,2018,petrol,64374.0,19.0,1199
bangalore,manual,1,mg,mg hector,2021,sharp diesel mt bsiv,1750000.0,2021,diesel,30000.0,17.41,1956
bangalore,manual,1,hyundai,hyundai i10,2010,era 1.1 itech se,271000.0,2010,petrol,43679.0,19.81,1086
bangalore,automatic,1,hyundai,hyundai creta,2018,1.6 sx automatic,1280000.0,2018,petrol,40000.0,14.8,1591
bangalore,manual,1,hyundai,hyundai i20,2012,era 1.4 crdi,436000.00000000006,2012,diesel,40562.0,22.54,1396
bangalore,automatic,1,hyundai,hyundai venue,2019,sx plus turbo dct bsiv,1250000.0,2019,petrol,20000.0,18.15,998
bangalore,automatic,1,mahindra,mahindra xuv500,2016,at w8 fwd,1350000.0,2016,diesel,58600.0,16.0,2179
bangalore,automatic,1,maruti,maruti celerio,2015,vxi at,475000.0,2016,petrol,65017.0,23.1,998
bangalore,automatic,2,bmw,bmw 3 series,2008,320d,600000.0,2008,diesel,80000.0,13.2,1995
bangalore,automatic,1,kia,kia seltos,2020,gtx plus dct,1625000.0,2020,petrol,20000.0,16.5,1353
bangalore,automatic,1,skoda,skoda superb,2014,elegance 2.0 tdi cr at,1650000.0,2014,diesel,36349.0,17.2,1968
bangalore,manual,3,hyundai,hyundai i10,2009,sportz 1.2,249000.00000000003,2009,petrol,80000.0,20.36,1197
bangalore,manual,2,renault,renault duster,2014,petrol rxe,630000.0,2014,petrol,83394.0,13.24,1598
bangalore,manual,1,maruti,maruti alto k10,2017,vxi,385000.0,2017,petrol,52204.0,24.39,998
bangalore,manual,3,hyundai,hyundai i20,2012,1.2 sportz,300000.0,2012,petrol,110000.0,17.0,1197
bangalore,manual,2,maruti,maruti alto 800,2014,vxi,276000.0,2014,petrol,29813.0,22.05,796
bangalore,manual,1,ford,ford figo,2018,1.2p titanium opt mt,500000.0,2018,petrol,30000.0,18.16,1196
bangalore,automatic,1,maruti,maruti ignis,2020,1.2 amt zeta bsiv,730000.0,2020,petrol,13345.0,20.89,1197
bangalore,manual,1,hyundai,hyundai grand i10,2014,sportz,399000.0,2014,petrol,75000.0,18.9,1197
bangalore,manual,2,hyundai,hyundai i10,2011,sportz,312000.0,2011,petrol,75523.0,20.36,1197
bangalore,manual,1,mahindra,mahindra xuv500,2015,w10 2wd,1275000.0,2015,diesel,47000.0,16.0,2179
bangalore,manual,1,renault,renault triber,2020,rxz,719000.0,2020,petrol,28253.0,20.0,999
