owner_no,model_year,price,registered_year,kms_driven,mileage_kmpl,engine_cc,car_age,model_age,registration_lag,normalized_model_age,mileage_normalized,high_mileage,multiple_owners,brand_popularity,kms_per_year,city_bangalore,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata,transmission_automatic,transmission_manual,fuel_type_cng,fuel_type_diesel,fuel_type_lpg,fuel_type_petrol,kms_High,kms_Low,kms_Moderate,kms_Unused,kms_Very_Low,brand_encoded,variant_name_encoded,model_encoded
2,2014,802999.9999999999,2014,79012.0,15.1,2179,10,10,0,0.9090909090909092,0.4241573033707865,0,1,889729.1666666666,7182.909090909091,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,15,635909.0909090909,985120.0
1,2018,674000.0,2018,50000.0,20.14,1197,6,6,0,0.8571428571428571,0.5657303370786517,0,0,575329.531685678,7142.857142857143,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,9,596400.0,432471.69811320753
1,2015,349000.0,2015,12434.0,20.51,998,9,9,0,0.9,0.576123595505618,0,0,503886.0239819005,1243.4,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,18,326073.5294117647,345841.5201612903
2,2019,1050000.0,2019,60000.0,19.34,1462,5,5,0,0.8333333333333334,0.5432584269662921,0,1,503886.0239819005,10000.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,961666.6666666666,791150.0
2,2015,406000.0,2015,40987.0,20.51,998,9,9,0,0.9,0.576123595505618,0,1,503886.0239819005,4098.7,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,18,326073.5294117647,345841.5201612903
3,2011,1100000.0,2011,120000.0,11.5,2982,13,13,0,0.9285714285714286,0.3230337078651685,0,1,874422.7642276423,8571.42857142857,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,29,1131000.0,1356742.857142857
2,2020,1100000.0,2020,40000.0,19.87,1461,4,4,0,0.8,0.5581460674157304,0,1,536132.6860841424,8000.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,26,1100000.0,637742.8571428572
1,2016,594000.0,2016,89667.0,18.6,1197,8,8,0,0.8888888888888888,0.5224719101123596,0,0,575329.531685678,9963.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9,432584.6153846154,564454.268292683
1,2017,710000.0,2017,120000.0,22.54,1396,7,7,0,0.875,0.6331460674157303,0,0,575329.531685678,15000.0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,9,688800.0,564454.268292683
1,2017,692000.0,2017,56997.0,21.4,1197,7,7,0,0.875,0.6011235955056179,0,0,503886.0239819005,7124.625,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,633571.4285714285,643665.5172413794
1,2013,650000.0,2013,120000.0,16.3,1797,11,11,0,0.9166666666666666,0.4578651685393258,0,0,575329.531685678,10000.0,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,9,818375.0,925269.2307692308
1,2021,411000.00000000006,2021,18835.0,22.05,796,3,3,0,0.75,0.6193820224719101,0,0,503886.0239819005,4708.75,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,18,409583.3333333333,306477.1296296296
2,2010,650000.0,2010,120000.0,12.05,2179,14,14,0,0.9333333333333332,0.3384831460674157,0,1,889729.1666666666,8000.0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,15,650000.0,771763.1578947369
1,2019,610000.0,2019,60932.0,23.84,1199,5,5,0,0.8333333333333334,0.6696629213483146,0,0,617492.5013404826,10155.333333333334,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,28,584000.0,521147.36842105264
2,2020,1675000.0,2020,33539.0,16.5,1353,4,4,0,0.8,0.4634831460674157,0,1,1312102.3622047245,6707.8,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,13,1532714.2857142857,1382297.619047619
2,2018,530000.0,2018,66837.0,23.84,1199,6,6,0,0.8571428571428571,0.6696629213483146,0,1,617492.5013404826,9548.142857142857,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,28,557500.0,521147.36842105264
2,2008,250000.0,2008,60000.0,19.7,796,16,16,0,0.9411764705882352,0.5533707865168539,0,1,503886.0239819005,3529.4117647058824,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,18,268228.94886363635,141861.26923076922
1,2019,715000.0,2019,44285.0,18.6,1197,5,5,0,0.8333333333333334,0.5224719101123596,0,0,575329.531685678,7380.833333333333,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,9,585166.6666666666,564454.268292683
1,2018,625000.0,2019,36735.0,18.9,1197,5,6,1,0.7142857142857143,0.5308988764044943,0,0,575329.531685678,6122.5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,9,560700.0,472567.5675675676
2,2010,650000.0,2010,120000.0,12.05,2179,14,14,0,0.9333333333333332,0.3384831460674157,0,1,889729.1666666666,8000.0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,15,650000.0,771763.1578947369
1,2022,550000.0,2022,10000.0,22.0,999,2,2,0,0.6666666666666666,0.6179775280898876,0,0,536132.6860841424,3333.333333333333,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,26,523100.0,397993.28859060403
